"point","date","mesure","detectionLimit","x","y"
"point385",2012-05-23,1.60000002384186,1.60000002384186,2051.31199999998,6141.61899999995
"point449",2012-05-23,7.69999980926514,7.69999980926514,1817.58299999998,6087.03699999955
"point462",2012-05-23,24,24,2125.28100000002,6337.17599999998
"point443",2012-05-23,0.5,0.5,1667.63299999997,6305.26699999999
"point445",2012-05-23,0.300000011920929,0.300000011920929,1598.28600000002,6175.49299999978
"point467",2012-05-23,1.10000002384186,1.10000002384186,1736.49200000003,6327.78100000042
"point004",2012-05-23,1.20000004768372,1.20000004768372,2517.886,7071.12100000028
"point430",2012-05-23,4.40000009536743,4.40000009536743,2502.34000000003,6712.1679999996
"point486",2012-05-23,56,56,2452.45000000001,6753.99799999967
"point487",2012-05-23,11,11,1956.37699999998,6448.3629999999
"point370",2012-05-23,0,0.100000001490116,1833.02500000002,6361.75700000022
"point371",2012-05-23,0,0.100000001490116,1837.22100000002,6359.81099999975
"point482",2012-05-23,5.09999990463257,5.09999990463257,1811.78600000002,6342.35099999979
"point387",2012-05-24,1.89999997615814,1.89999997615814,2365.18199999997,6448.50999999978
"point428",2012-05-24,78,78,2366.88699999999,6448.50100000016
"point472",2012-05-24,62,62,2268.62099999998,6470.03000000026
"point018",2012-05-24,0.300000011920929,0.300000011920929,2586.804,7848.30599999987
"point345",2012-05-24,0,0.100000001490116,2485.11300000001,6764.7790000001
"point401",2012-05-24,1.39999997615814,1.39999997615814,2702.51699999999,6878.70000000019
"point437",2012-05-24,1.60000002384186,1.60000002384186,2911.19900000002,6345.375
"point278",2012-05-24,0.400000005960464,0.400000005960464,2930.57000000001,6049.53199999966
"point414",2012-05-24,379,379,2696.35200000001,6247.67100000009
"point435",2012-05-24,14,14,2728.90000000002,6319.84300000034
