"points","date","value","x","y","valuePrec1","valuePrec2","neighbours1value","neighbours1valuePrec1","neighbours1valuePrec2","neighbours2value","neighbours2valuePrec1","neighbours2valuePrec2","neighbours3value","neighbours3valuePrec1","neighbours3valuePrec2"
"point430",2014-02-01,0,2502.34000000003,6712.1679999996,272.63215395436,400.258294338385,NA,508.186819474192,447.886480719199,NA,85.00700163072,57.2028470689146,NA,85.0359476580549,57.2235671403507
"point004",2014-02-01,0,2517.886,7071.12100000028,0,0,NA,324.657182712968,273.528515727682,NA,18.0566563603229,161.330594033215,NA,0,0
"point442",2014-02-01,0,1781.62599999999,6327.51400000043,0,0,NA,0,0,NA,0,105.395982514868,NA,113.503674532086,69.6377874507995
"point402",2014-02-01,0,2153.33600000001,6977.11799999978,283.623671987233,222.71310568625,NA,346.732070647011,278.225996577785,NA,0,0,NA,81.2272040913237,77.9728419526624
"point357",2014-02-01,0,1565.13699999999,5646.3320000004,192.532136099722,180.478600991386,NA,0,0,NA,0,0,NA,175.261172588537,143.254419352466
"point358",2014-02-01,0,1565.20199999999,5650.17300000042,0,0,NA,0,0,NA,192.532136099722,180.478600991386,NA,175.261172588537,143.254419352466
"point455",2014-02-01,0,1942.73700000002,6389.45399999991,390.564640454636,345.616031989987,NA,401.12236339918,370.021361196313,NA,0,0,NA,37.1704705737793,37.705691519657
"point377",2014-02-01,0,2152.33100000001,6975.71399999969,346.732070647011,278.225996577785,NA,283.623671987233,222.71310568625,NA,0,0,NA,81.2272040913237,77.9728419526624
"point467",2014-02-01,0,1736.49200000003,6327.78100000042,0,105.395982514868,NA,0,0,NA,86.479692385502,55.6852407206108,NA,0,0
"point470",2014-02-01,0,2354.022,6546.92599999998,168.989822627382,111.017092669212,NA,351.707328153756,308.366708917841,NA,0,0,NA,239.76607027487,144.408029480775
"point472",2014-02-01,0,2268.62099999998,6470.03000000026,0,0,NA,0,0,NA,317.067625770804,308.896621473804,NA,286.973005333638,233.503555761964
"point449",2014-02-01,0,1817.58299999998,6087.03699999955,0,0,NA,0,0,NA,223.957069087668,223.047532966811,NA,0,0
"point077",2014-02-01,0,2462.78100000002,5626.23500000034,415.255453114409,408.899603653314,NA,0,0,NA,0,0,NA,292.263416694153,241.948935689449
"point284",2014-02-01,0,1881.03000000003,6002.82600000035,223.957069087668,223.047532966811,NA,0,0,NA,0,0,NA,288.753129137972,249.609587697771
"point423",2014-02-01,0,2231.54100000003,6172.54499999993,341.751600461467,330.558003861939,NA,0,0,NA,0,0,NA,236.556830844925,197.748229533568
"point060",2014-02-01,0,2170.641,6092.63800000027,0,0,NA,0,0,NA,341.751600461467,330.558003861939,NA,210.331026133934,209.50415178446
"point283",2014-02-01,0,1939.70899999997,6410.50100000016,401.12236339918,370.021361196313,NA,390.564640454636,345.616031989987,NA,0,0,NA,37.1704705737793,37.705691519657
"point051",2014-02-01,0,1699.30800000002,5996.96999999974,288.753129137972,249.609587697771,NA,283.175958149283,243.957381612495,NA,0,0,NA,0,0
"point325",2014-02-01,0,1818.23499999999,5624.53600000031,0,0,NA,0,0,NA,239.881503683309,254.721345988084,NA,0,0
"point340",2014-02-01,0,2065.65600000002,5651.32799999975,378.782690329417,365.123319198436,NA,0,0,NA,0,0,NA,0,0
"point103",2014-02-01,0,2451.24200000003,6027.91399999987,231.097063074236,301.13631233057,NA,0,0,NA,0,0,NA,1153.45579945623,983.389397452814
"point082",2014-02-01,0,2263.41399999999,5975.125,413.922142481553,396.314744759505,NA,0,0,NA,0,0,NA,0,0
"point096",2014-02-01,0,2387.21500000003,6234.74299999978,0,0,NA,89.5143339388842,33.5056058175237,NA,345.498137587956,354.194066743575,NA,345.885804807802,354.57793318834
"point099",2014-02-01,0,2376.28899999999,6143.14499999955,444.401382589008,434.111659609888,NA,0,0,NA,0,0,NA,0,0
